iter	Passed	Remaining
0	0	59
1	1	55
2	1	54
3	2	48
4	2	45
5	2	45
6	3	44
7	3	45
8	4	46
9	5	46
10	5	44
11	5	43
12	6	43
13	6	42
14	7	42
15	7	41
16	8	40
17	8	39
18	9	39
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	18	28
39	18	28
40	19	27
41	19	27
42	19	26
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	26	20
56	26	20
57	26	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	15
68	32	14
69	33	14
70	33	13
71	33	13
72	34	12
73	35	12
74	35	11
75	35	11
76	36	10
77	36	10
78	37	9
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
